Signe_FR;Signe_UE;ID_CATEGORIE_PRODUIT;Catégorie;ID_TYPE_PRODUIT;Classe_UE;SECTEUR;id_appellation;Appellation;id_denomination_geo;Dénomination;Produit;IdProduit;pro_etat;Lib_etat;CVI;Référence;Comité_National;Comité_Régional;Site_INAO;Délégation_Territoriale
;"IG - ";17;"Eaux-de-vie de cidre et de poiré";1;"Autres boissons alcoolisées";VITICOLE;397;"Eau-de-vie de cidre de Normandie";1514;"Eau-de-vie de cidre de Normandie";"Eau-de-vie de cidre de Normandie ";13122;2;Publié;;;CNV;"EAUX-DE-VIE DE CIDRE";Caen;"8 Ouest"
;"IG - ";17;"Eaux-de-vie de cidre et de poiré";1;"Autres boissons alcoolisées";VITICOLE;400;"Eaux-de-vie de poiré de Normandie";1517;"Eaux-de-vie de poiré de Normandie";"Eaux-de-vie de poiré de Normandie";13096;2;Publié;0;;CNV;"EAUX-DE-VIE DE CIDRE";Caen;"8 Ouest"
;"IG - ";19;"Eaux-de-vie de vin";3;"Eaux-de-vie de vin et de marc";VITICOLE;372;"Eau-de-vie de vin de la Marne ou Fine champenoise";1489;"Eau-de-vie de vin de la Marne ou Fine champenoise";"Eau-de-vie de vin de la Marne ou Fine champenoise";13112;2;Publié;;;CNV;CHAMPAGNE;Epernay;"1 Nord-Est"
;"IG - ";19;"Eaux-de-vie de vin";3;"Eaux-de-vie de vin et de marc";VITICOLE;376;"Fine Bordeaux";1493;"Fine Bordeaux";"Fine Bordeaux";13107;2;Publié;0;;CNV;SUD-OUEST;Bordeaux;"5 Aquitaine - Poitou-Charentes"
;"IG - ";19;"Eaux-de-vie de vin";3;"Eaux-de-vie de vin et de marc";VITICOLE;390;"Fine Faugères ou Eau-de-vie de Faugères";1507;"Fine Faugères ou Eau-de-vie de Faugères";"Fine Faugères ou Eau-de-vie de Faugères";13124;2;Publié;0;;CNV;LANGUEDOC-ROUSSILLON;Narbonne;"4 Occitanie"
;"IG - ";19;"Eaux-de-vie de vin";3;"Eaux-de-vie de vin et de marc";VITICOLE;393;"Eau-de-vie de vin des côtes-du-rhône ou Fine des côtes-du-rhône";1510;"Eau-de-vie de vin des côtes-du-rhône ou Fine des côtes-du-rhône";"Eau-de-vie de vin des côtes-du-rhône ou Fine des côtes-du-rhône";13156;2;Publié;;;CNV;"VALLEE DU RHÔNE";Avignon;"3 Sud-Est"
;"IG - ";19;"Eaux-de-vie de vin";3;"Eaux-de-vie de vin et de marc";VITICOLE;1151;"Eau-de-vie de vin originaire du Languedoc ou Fine du Languedoc ou Eau-de-vie de vin du Lan";2797;"Eau-de-vie de vin originaire du Languedoc ou Fine du Languedoc ou Eau-de-vie de ";"Eau-de-vie de vin originaire du Languedoc ou Fine du Languedoc ou Eau-de-vie de vin du Languedoc";13120;2;Publié;0;;CNV;LANGUEDOC-ROUSSILLON;Narbonne;"4 Occitanie"
;"IG - ";19;"Eaux-de-vie de vin";3;"Eaux-de-vie de vin et de marc";VITICOLE;1159;"Eau-de-vie de vin originaire du Bugey ou Fine du Bugey";2806;"Eau-de-vie de vin originaire du Bugey ou Fine du Bugey";"Eau-de-vie de vin originaire du Bugey ou Fine du Bugey";13215;2;Publié;0;;CNV;BOURGOGNE;Mâcon;"2 Centre-Est"
;"IG - ";20;"Eaux-de-vie de marc de raisin";3;"Eaux-de-vie de vin et de marc";VITICOLE;373;"Marc de Champagne ou Marc champenois ou Eau-de-vie de marc champenois";1490;"Marc de Champagne ou Marc champenois ou Eau-de-vie de marc champenois";"Marc de Champagne ou Marc champenois ou Eau-de-vie de marc champenois";13109;2;Publié;0;;CNV;CHAMPAGNE;Epernay;"1 Nord-Est"
;"IG - ";20;"Eaux-de-vie de marc de raisin";3;"Eaux-de-vie de vin et de marc";VITICOLE;379;"Marc d'Auvergne";1496;"Marc d'Auvergne ";"Marc d'Auvergne";13117;2;Publié;;;CNV;"VAL DE LOIRE";Tours;"7 Val de Loire"
