appellation,oeil,nez,bouche,mets_et_vin
Corton,": En rouge, le corton affiche le plus souvent une couleur pourpre soutenu ou rouge sombre d'une densité violacée.En blanc, la robe est d'un jaune généralement assez pâle, or clair à reflets verts.","En rouge, le bouquet est à la fois ample et généreux. Il s'exprime sur des accents fruités (myrtille, groseille, cerise, kirsch) ou fleuris (violette), évoluant avec l'âge vers le sous-bois, le cuir tanné, la fourrure, l'animal. L'abricot cuit lui offre parfois une note originale. Les autres arômes fréquents sont le poivre, la réglisse et le noyau.En blanc, le corton offre des arômes mariant des nuances minérales (silex), beurrées (beurre, pomme au four), végétales (fougère, genévrier), épicées (cannelle) et miellées (miel, hydromel).","En rouge, solide, costaud, puissant, structuré, le corton se montre volontiersdémonstratif. De la mâche et du corps ! Il tire sa révérence sur une note tannique. Mais certains climats sont beaucoup plus tendres, fins et délicats. Par ailleurs, les vinifications actuelles donnent des vins moins austères, pouvant être dégustés au bout de deux à trois ans. En général,cependant, le corton apparaît dur et vif dans sa jeunesse. Ferme et franc, il a besoin de temps pour s'exprimer.En blanc, on a affaire à un vin souple et rond, élégant et racé, qui domine le paysage du chardonnay dans un style assez original.","Gibier à plume (canard à l’orange, caille aux raisins, perdrix), gibier à poil (lièvre, chevreuil), fromages (cîteaux, munster, tamié). crustacés cuisinés (écrevisses, homard, langouste), poisson, viande blanche ou volaille à la crème."
Chablis,": La robe est discrète, blanc-vert, ou « petit or » (jaune pâle) mêlé à des reflets émeraude ou gris.","Très frais et minéral, le chablis évoque le silex, la pomme verte, le citron et le pamplemousse.Il gagne en se développant des notes de sous-bois et de champignon (mousseron). Les arômes de menthe, de fleur blanche (acacia), de tilleul ou de violette sont également présents. L'âge apporte une dimension épicée à la palette.","Ce vin laisse au palais un goût de pierre à fusil ou de champignon (on dit qu'il « mousseronne »).Très sec, vif, voire acide, et d'une finesse admirable, le chablis a une personnalité reconnaissable.","Fruits de mer, andouillette chablisienne, escargots, viande blanche en sauce, sauté ou curry d’agneau, asperges, poisson à l’oseille, fromages (chèvre ou comté)."
Marsannay,": Les vins rouges, souvent assez pâles, évoluent vers une teinte grenat bleuté.Les vins rosés dévoilent une robe groseille ou légèrement orangée, à reflets carminés délicats.Les vins blancs sont d'un or blanc pâle, à reflets citron vert.","Les vins rouges proposent un bouquet composé de fougère, de violette, de mûre, de cassis, de pruneau sec et de réglisse. En vieillissant, ils évoluent vers le sous-bois, la mousse, le cuir et les épices.Les vins rosés déclinent des arômes de raisin fraîchement écrasé, de pêche et de fleurs discrètes.En blanc, le nez s'ouvre sur la citronnelle avant de poursuivre sur les fruits secs, l'aubépine et quelquefois le miel.","En rouge, le gras et la structure s'harmonisent. Le marsannay est un peu sévère dans sa jeunesse, mais atteint avec l'âge d'authentiques sommets.Floraux, vineux et gras, les vins rosés séduisent le palais par leur consistance.Les vins blancs sont souples, amples et gras.","Viande rouge, dinde aux marrons, fromages (époisses, ami du chambertin). cuisses de grenouilles, escargots, jambon persillé. terrine de fois de volaille, poisson de rivière, viande blanche, volaille aux morilles."
Gevrey-chambertin,: Un vin très coloré dont l'éclat de jeunesse (rubis vif) s'assombrit souvent pour prendre une teinte presque noire aux reflets rougeâtres.,"La fraise, le cassis, la violette et le réséda font partie des arômes de jeunesse du gevrey-chambertin, tandis qu'en vieillissant, le vin évolue vers le cuir, la fourrure et la réglisse. Quelques climats et styles de vinification donnent des vins aux arômes de terre ou de terrier, d'humus, de venaison. Ceux-ci renardent parfois. Les Cazetiers en offrent un bon exemple.","Le gevrey-chambertin apparaît carré, puissant. Un grand bourgogne. Son corps est ferme, soutenu, équilibré par l'accent du terroir qui est l'un des plus graveleux de la Côte de Nuits. La plupart des vinifications actuelles tendent cependant à un vin plus spontané, plus riche en fruit, moins austère, déjà très agréable au bout de deux ou trois ans.","Coq au vin, boeuf en daube, sandre au vin rouge, fromages (chaource)."
Meursault,": La robe du meursault est d'un or plus ou moins ambré selon l'âge. Limpide, brillante, elle a de l'éclat et s'accompagne souvent de reflets gris.","Le bouquet évoque le chardonnay mûr, gorgé de soleil et empreint de l'influence du terroir. On y perçoit des arômes d'aubépine, d'abricot, de citron et de fruits exotiques (mangue, papaye). S'y mêlent les fruits secs caractéristiques du cépage (noisette et amande), ainsi que les notes de tilleul et de beurre.La truffe et le pain grillé signent une bonne évolution.","Le meursault est un vin d'une certaine corpulence, long et structuré. Sa texture soyeuse s'accompagne de saveurs de noisette fraîche, de miel, jusqu'à une finale originale sur la mirabelle.","Viande rouge grillée ou rôtie. foie gras, fruits de mer, quenelles de brochet, poisson, fromages (munster, époisses, roquefort ou bleu de bresse), tarte tatin (vin âgé)."
Bourgogne-côte-chalonnaise,": En rouge, une couleur nette et franche, d'un beau pourpre ou d'un rubis brillant, tirant parfois sur le grenat sombre ou sur le violacé.En blanc, la teinte est claire, jaune pâle illuminé de reflets. L'or et l'argent se mêlent.","Les petits fruits rouges (framboise, groseille) et noirs (cassis, mûre) sont à la fête dans le vin rouge. Noyau, cerise parfois. L'animal, le sous-bois, le champignon sont dans les habitudes du pays.Le blanc évoque les fleurs blanches (aubépine, acacia) et les fruits secs, sur des notes souvent citronnées, quelquefois anisées, suggérant la viennoiserie, le croissant chaud, le miel.","Le rouge a une texture ferme, résistante, un peu austère dans sa jeunesse. Mais il a du souffle l'âge lui apporte la rondeur.En blanc. Gras, de bonne tenue. Sans excès de charpente ni de persistance, un vin offert au plaisir de la jeunesse, à l'attaque franche.Sa vivacité tient le palais en éveil.Et les rosés ? Ils sont assez rares. Du fruit et une spontanéité pleine de bonhomie. Bien travaillés et issus de saignées rigoureuses.","Oeufs en meurette, viande en sauce ou grillée, fromages (époisses, soumaintrain). truite, fromages (cîteaux)."
Bouzeron,": Sa couleur or pâle, à nuance très légèrement vert d'eau, ne doit pas tirer sur le jaune.","Le bouzeron évoque l'acacia, les fleurs blanches et un petit chemin bordé de noisettes. Les arômes minéraux (silex, pierre à fusil), mêlés à des notes fraîches d'agrumes (citron, citron vert) complètent le bouquet. Un peu de miel ? Peut-être, mais cette touche doit rester légère et discrète sur une note de croissant chaud.","C'est un vin de mise en bouche. Même si cela lui arrive, le bouzeron ne doit pas trop « chardonner ».Il doit en effet conserver sa nature, sa typicité. Ce vin gourmand, dont l'ampleur est satisfaisante, la complexité intéressante, fait rêver. Les Bourguignons parlent de sa rondeur pointue qui fait tout son charme.","Apéritif avec des gougères, escargots à la bourguignonne,
jambon persillé, fruits de mer et crustacés,
poissons frits, rognons sautés, fromages de chèvre,
comté."
Rully,": Le rully rouge revêt une robe rubis ou grenat profond.Le rully blanc présente une teinte dorée à reflets verts. Avec l'âge, il acquiert une couleur souvent assez prononcée : jaune soutenu, bouton d'or.","En rouge, les fruits noirs (cassis, mûre) et rouges (bigarreau) composent la note de tête du bouquet. Ils s'accompagnent d'arômes de réglisse, de lilas, de pétale de rose. Le nez évolue vers le fruit cuit et des sensations mi-kirsch mi-poivre.En blanc, les notes de « fleurs de haie », ou d'acacia, de chèvrefeuille, de sureau très fin, de violette, de pêche blanche, de citron et de silex se marient souvent au miel et au toast beurré. Avec le temps, apparaissent des nuances de coing et de fruits secs.","En rouge, les tanins n'écrasent ni le fruit ni le relief du vin, mais il faut laisser un peu de temps au temps, sans excès de vieillissement, pour que la légère astringence et la mâche se fondent délicieusement au palais sur une longue persistance.En blanc, le rully est très marqué par le fruit. Rond, ferme cependant, il possède de la chair et de la longueur.","Gibier à plume, canard à l’orange, fromages (reblochon). andouillette, cuisses de grenouilles, brochet au beurre blanc, moules et coquilles saint-jacques, volaille à la crème."
Mercurey,": Le mercurey rouge est souvent profond et presque sombre. Les nuances violacées et grenat foncé sont assez fréquentes. La parenté est évidente avec la robe du pommard et du volnay.Le mercurey blanc révèle le ton doré du chardonnay, plus ou moins pâle, animé de reflets verts.","Qu'il s'agisse de la framboise, de la fraise ou de la cerise, le fruit est rouge et croquant. L'âge donne au mercurey des accents classiques, tirant sur le sous-bois, la mousse ou encore le cuir, la fourrure, le gibier.Le mercurey blanc se montre floral?; la menthe, le tilleul et l'amande fraîche, la noisette complètent le nez.","Le mercurey rouge est un vin entier qui possède de la mâche. Les tanins apportent quelquefois une nuance d'amertume qui passe avec le temps. Plénitude et fermeté, selon une architecture simple et élégante.Le mercurey blanc, par sa rondeur, est très proche des vins blancs de la Côte de Beaune.","Veau aux carottes, boeuf bourguignon, fromages (langres). entrées, fruits de mer, fromages à pâte pressée."
Givry,": Le givry rouge porte une robe brillante, aux nuances carmin ou pourpre agrémentées de reflets souvent violacés.Limpide et vif, le givry blanc est or clair, sans aller jusqu'au jaune qui est plutôt un signe de maturité.","En rouge, le bouquet évoque la violette, la fraise ou la mûre, avec des variations réglissées, des accents animaux ou fauves. On y trouve parfois des épices (clou de girofle).Les arômes du givry blanc peuvent être miellés, citronnés. Ils rappellent le tilleul, le lys, les fruits secs (noisette).","Épicé, assez tannique dans sa jeunesse, le givry rouge devient souple et aimable avec l'âge. Il faut souvent le déguster après trois à cinq ans de garde.Fin, harmonieux, partagé entre le mœlleux et l'acidité, le givry blanc tient bien en bouche. Il est capable de bien se conserver.","Charcuterie, oeufs en meurette, terrine de gibier, canard aux cerises, poulet grillé. moules à la crème, bisque de homard, poisson au beurre blanc."
