ALOXE-CORTON, blanc et rouge
AUXEY-DURESSES, blanc et rouge
BÂTARD-MONTRACHET, blanc
BEAUNE, blanc et rouge
BIENVENUES-BÂTARD-MONTRACHET, blanc
BLAGNY, rouge
CHASSAGNE-MONTRACHET, blanc et rouge
CHEVALIER-MONTRACHET, blanc
CHOREY-LÈS-BEAUNE, blanc et rouge
CORTON, blanc et rouge
CORTON-CHARLEMAGNE, blanc
CÔTE-DE-BEAUNE, blanc et rouge
CÔTE-DE-BEAUNE-VILLAGES, rouge
CRIOTS-BÂTARD-MONTRACHET, blanc
LADOIX, blanc et rouge
MARANGES, blanc et rouge
MEURSAULT, blanc et rouge
MONTHÉLIE, blanc et rouge
MONTRACHET, blanc
PERNAND-VERGELESSES, blanc et rouge
POMMARD, rouge
PULIGNY-MONTRACHET, blanc et rouge
SAINT-AUBIN, blanc et rouge
SAINT-ROMAIN, blanc et rouge
SANTENAY, blanc et rouge
SAVIGNY-LÈS-BEAUNE, blanc et rouge
VOLNAY, rouge
